"TOA5","CR1000_PZ07","CR1000","E4521","CR1000.Std.32.05","CPU:pz07.CR1","1842","Horario"
"TIMESTAMP","RECORD","Nivel_m","Temp_C","Batt_V"
"TS","RN","m","Deg C","Volts"
"","","Smp","Smp","Min"
"2025-09-15 00:00:00",4400,12.808,14.2,12.7
"2025-09-15 01:00:00",4401,12.807,14.4,12.7
"2025-09-15 02:00:00",4402,12.851,14.7,12.7
"2025-09-15 03:00:00",4403,12.872,14.8,12.7
"2025-09-15 04:00:00",4404,12.889,14.4,12.7
"2025-09-15 05:00:00",4405,12.938,14.1,12.7
"2025-09-15 06:00:00",4406,12.976,14.5,12.7
"2025-09-15 07:00:00",4407,12.983,14.9,12.7
"2025-09-15 08:00:00",4408,12.994,14.9,12.7
"2025-09-15 09:00:00",4409,13.033,14.4,12.7
"2025-09-15 10:00:00",4410,13.059,14.7,12.7
"2025-09-15 11:00:00",4411,13.059,14.5,12.7
"2025-09-15 12:00:00",4412,13.088,14.0,12.7
"2025-09-15 13:00:00",4413,13.094,14.5,12.7
"2025-09-15 14:00:00",4414,13.108,14.3,12.7
"2025-09-15 15:00:00",4415,13.138,14.5,12.7
"2025-09-15 16:00:00",4416,13.150,14.7,12.7
"2025-09-15 17:00:00",4417,13.148,14.2,12.7
"2025-09-15 18:00:00",4418,13.157,14.3,12.7
"2025-09-15 19:00:00",4419,13.160,14.6,12.7
"2025-09-15 20:00:00",4420,13.169,14.6,12.7
"2025-09-15 21:00:00",4421,13.187,14.4,12.7
"2025-09-15 22:00:00",4422,13.202,14.3,12.7
"2025-09-15 23:00:00",4423,13.193,14.3,12.7
"2025-09-16 00:00:00",4424,13.200,14.4,12.7
"2025-09-16 01:00:00",4425,13.195,14.5,12.7
"2025-09-16 02:00:00",4426,13.214,14.7,12.7
"2025-09-16 03:00:00",4427,13.202,14.9,12.7
"2025-09-16 04:00:00",4428,13.201,14.4,12.7
"2025-09-16 05:00:00",4429,13.176,14.7,12.7
"2025-09-16 06:00:00",4430,13.179,14.4,12.7
"2025-09-16 07:00:00",4431,13.165,14.6,12.7
"2025-09-16 08:00:00",4432,13.141,14.5,12.7
"2025-09-16 09:00:00",4433,13.137,14.8,12.7
"2025-09-16 10:00:00",4434,13.097,14.4,12.7
"2025-09-16 11:00:00",4435,13.097,14.9,12.7
"2025-09-16 12:00:00",4436,13.088,14.9,12.7
"2025-09-16 13:00:00",4437,13.065,14.7,12.7
"2025-09-16 14:00:00",4438,13.053,14.5,12.7
"2025-09-16 15:00:00",4439,13.019,14.8,12.7
"2025-09-16 16:00:00",4440,13.012,14.4,12.7
"2025-09-16 17:00:00",4441,12.970,14.4,12.7
"2025-09-16 18:00:00",4442,12.967,14.6,12.7
"2025-09-16 19:00:00",4443,12.922,14.4,12.7
"2025-09-16 20:00:00",4444,12.915,14.5,12.7
"2025-09-16 21:00:00",4445,12.862,14.5,12.7
"2025-09-16 22:00:00",4446,12.864,14.5,12.7
"2025-09-16 23:00:00",4447,12.831,14.5,12.7
"2025-09-17 00:00:00",4448,12.792,14.4,12.7
"2025-09-17 01:00:00",4449,12.782,14.7,12.7
"2025-09-17 02:00:00",4450,12.741,14.4,12.7
"2025-09-17 03:00:00",4451,12.722,14.6,12.7
"2025-09-17 04:00:00",4452,12.699,14.6,12.7
"2025-09-17 05:00:00",4453,12.683,14.3,12.7
"2025-09-17 06:00:00",4454,12.657,14.5,12.7
"2025-09-17 07:00:00",4455,12.630,14.5,12.7
"2025-09-17 08:00:00",4456,12.588,14.4,12.7
"2025-09-17 09:00:00",4457,12.584,14.6,12.7
"2025-09-17 10:00:00",4458,12.551,14.6,12.7
"2025-09-17 11:00:00",4459,12.531,14.5,12.7
"2025-09-17 12:00:00",4460,12.498,14.7,12.7
"2025-09-17 13:00:00",4461,12.500,14.8,12.7
"2025-09-17 14:00:00",4462,12.476,14.6,12.7
"2025-09-17 15:00:00",4463,12.480,14.5,12.7
"2025-09-17 16:00:00",4464,12.458,14.6,12.7
"2025-09-17 17:00:00",4465,12.435,14.9,12.7
"2025-09-17 18:00:00",4466,12.424,14.6,12.7
"2025-09-17 19:00:00",4467,12.432,14.6,12.7
"2025-09-17 20:00:00",4468,12.406,14.7,12.7
"2025-09-17 21:00:00",4469,12.396,14.3,12.7
"2025-09-17 22:00:00",4470,12.402,14.4,12.7
"2025-09-17 23:00:00",4471,12.394,14.5,12.7
"2025-09-18 00:00:00",4472,12.401,14.6,12.7
"2025-09-18 01:00:00",4473,12.400,14.8,12.7
"2025-09-18 02:00:00",4474,12.398,14.6,12.7
"2025-09-18 03:00:00",4475,12.416,14.5,12.7
"2025-09-18 04:00:00",4476,12.410,14.4,12.7
"2025-09-18 05:00:00",4477,12.414,14.4,12.7
"2025-09-18 06:00:00",4478,12.437,14.6,12.7
"2025-09-18 07:00:00",4479,12.454,14.6,12.7
"2025-09-18 08:00:00",4480,12.459,14.6,12.7
"2025-09-18 09:00:00",4481,12.456,14.5,12.7
"2025-09-18 10:00:00",4482,12.471,14.1,12.7
"2025-09-18 11:00:00",4483,12.509,14.6,12.7
"2025-09-18 12:00:00",4484,12.536,14.8,12.7
"2025-09-18 13:00:00",4485,12.544,14.3,12.7
"2025-09-18 14:00:00",4486,12.548,14.2,12.7
"2025-09-18 15:00:00",4487,12.564,14.6,12.7
"2025-09-18 16:00:00",4488,12.606,14.6,12.7
"2025-09-18 17:00:00",4489,12.605,14.5,12.7
"2025-09-18 18:00:00",4490,12.630,14.2,12.7
"2025-09-18 19:00:00",4491,12.660,14.6,12.7
"2025-09-18 20:00:00",4492,12.704,14.5,12.7
"2025-09-18 21:00:00",4493,12.739,14.2,12.7
"2025-09-18 22:00:00",4494,12.749,14.9,12.7
"2025-09-18 23:00:00",4495,12.781,14.5,12.7
"2025-09-19 00:00:00",4496,12.816,14.6,12.7
"2025-09-19 01:00:00",4497,12.829,14.2,12.7
"2025-09-19 02:00:00",4498,12.865,14.9,12.7
"2025-09-19 03:00:00",4499,12.882,15.0,12.7
"2025-09-19 04:00:00",4500,12.912,14.5,12.7
"2025-09-19 05:00:00",4501,12.926,14.7,12.7
"2025-09-19 06:00:00",4502,12.945,14.6,12.7
"2025-09-19 07:00:00",4503,12.979,14.6,12.7
"2025-09-19 08:00:00",4504,13.007,14.4,12.7
"2025-09-19 09:00:00",4505,13.026,14.5,12.7
"2025-09-19 10:00:00",4506,13.056,14.3,12.7
"2025-09-19 11:00:00",4507,13.097,14.7,12.7
"2025-09-19 12:00:00",4508,13.087,14.6,12.7
"2025-09-19 13:00:00",4509,13.101,14.3,12.7
"2025-09-19 14:00:00",4510,13.108,14.2,12.7
"2025-09-19 15:00:00",4511,13.134,14.7,12.7
"2025-09-19 16:00:00",4512,13.164,14.4,12.7
"2025-09-19 17:00:00",4513,13.169,14.5,12.7
"2025-09-19 18:00:00",4514,13.167,14.7,12.7
"2025-09-19 19:00:00",4515,13.183,14.7,12.7
"2025-09-19 20:00:00",4516,13.185,14.7,12.7
"2025-09-19 21:00:00",4517,13.202,14.2,12.7
"2025-09-19 22:00:00",4518,13.173,14.3,12.7
"2025-09-19 23:00:00",4519,13.207,14.1,12.7
"2025-09-20 00:00:00",4520,13.197,14.6,12.7
"2025-09-20 01:00:00",4521,13.190,14.6,12.7
"2025-09-20 02:00:00",4522,13.200,14.8,12.7
"2025-09-20 03:00:00",4523,13.192,14.3,12.7
"2025-09-20 04:00:00",4524,13.177,14.6,12.7
"2025-09-20 05:00:00",4525,13.186,14.5,12.7
"2025-09-20 06:00:00",4526,13.146,14.4,12.7
"2025-09-20 07:00:00",4527,13.170,14.6,12.7
"2025-09-20 08:00:00",4528,13.142,14.4,12.7
"2025-09-20 09:00:00",4529,13.127,14.7,12.7
"2025-09-20 10:00:00",4530,13.117,14.4,12.7
"2025-09-20 11:00:00",4531,13.118,14.7,12.7
"2025-09-20 12:00:00",4532,13.055,14.7,12.7
"2025-09-20 13:00:00",4533,13.070,14.4,12.7
"2025-09-20 14:00:00",4534,13.048,14.6,12.7
"2025-09-20 15:00:00",4535,13.034,14.5,12.7
"2025-09-20 16:00:00",4536,13.000,14.3,12.7
"2025-09-20 17:00:00",4537,12.979,14.6,12.7
"2025-09-20 18:00:00",4538,12.937,14.2,12.7
"2025-09-20 19:00:00",4539,12.918,14.8,12.7
"2025-09-20 20:00:00",4540,12.903,14.6,12.7
"2025-09-20 21:00:00",4541,12.865,14.1,12.7
"2025-09-20 22:00:00",4542,12.864,14.7,12.7
"2025-09-20 23:00:00",4543,12.821,13.9,12.7
"2025-09-21 00:00:00",4544,12.798,14.4,12.7
"2025-09-21 01:00:00",4545,12.781,14.4,12.7
"2025-09-21 02:00:00",4546,12.727,14.4,12.7
"2025-09-21 03:00:00",4547,12.703,14.2,12.7
"2025-09-21 04:00:00",4548,12.694,14.4,12.7
"2025-09-21 05:00:00",4549,12.684,14.3,12.7
"2025-09-21 06:00:00",4550,12.635,14.2,12.7
"2025-09-21 07:00:00",4551,12.627,14.6,12.7
"2025-09-21 08:00:00",4552,12.576,14.4,12.7
"2025-09-21 09:00:00",4553,12.578,14.3,12.7
"2025-09-21 10:00:00",4554,12.551,14.6,12.7
