id;fecha;tipo_elem;intensidad;ocupacion;vmed
1001;01/09/2025 00:00:00;M30;328;15,19;80,50
1002;01/09/2025 00:00:00;URB;121;11,06;92,40
1003;01/09/2025 00:00:00;M30;318;11,64;92,00
1004;01/09/2025 00:00:00;M30;301;10,94;83,90
1005;01/09/2025 00:00:00;M30;353;19,68;90,10
1006;01/09/2025 00:00:00;M30;284;10,86;89,70
1007;01/09/2025 00:00:00;M30;284;9,70;91,00
1008;01/09/2025 00:00:00;URB;112;16,14;83,10
1009;01/09/2025 00:00:00;M30;317;10,31;89,20
1010;01/09/2025 00:00:00;URB;101;13,64;90,80
1011;01/09/2025 00:00:00;URB;114;12,68;86,70
1012;01/09/2025 00:00:00;M30;311;13,07;90,30
1013;01/09/2025 00:00:00;URB;120;13,88;88,30
1014;01/09/2025 00:00:00;URB;111;16,75;81,50
1015;01/09/2025 00:00:00;M30;354;16,38;87,30
1016;01/09/2025 00:00:00;URB;106;15,34;-1,00
1017;01/09/2025 00:00:00;URB;107;12,06;91,30
1018;01/09/2025 00:00:00;URB;129;13,95;84,30
1019;01/09/2025 00:00:00;M30;327;14,87;85,10
1020;01/09/2025 00:00:00;URB;139;11,90;90,20
1021;01/09/2025 00:00:00;M30;354;18,02;78,80
1022;01/09/2025 00:00:00;URB;119;17,30;83,90
1023;01/09/2025 00:00:00;URB;115;13,67;87,60
1024;01/09/2025 00:00:00;URB;96;10,72;93,10
1025;01/09/2025 00:00:00;M30;297;14,15;93,50
1026;01/09/2025 00:00:00;URB;115;13,61;-1,00
1027;01/09/2025 00:00:00;M30;327;10,42;-1,00
1028;01/09/2025 00:00:00;URB;128;16,96;-1,00
1029;01/09/2025 00:00:00;URB;128;24,96;76,10
1030;01/09/2025 00:00:00;URB;112;15,16;87,20
1001;01/09/2025 01:00:00;M30;314;10,77;93,20
1002;01/09/2025 01:00:00;URB;125;13,11;84,70
1003;01/09/2025 01:00:00;M30;315;11,97;89,60
1004;01/09/2025 01:00:00;M30;341;15,39;86,90
1005;01/09/2025 01:00:00;M30;329;18,50;82,10
1006;01/09/2025 01:00:00;M30;305;16,35;81,70
1007;01/09/2025 01:00:00;M30;291;13,78;85,60
1008;01/09/2025 01:00:00;URB;121;19,67;82,20
1009;01/09/2025 01:00:00;M30;294;9,91;81,60
1010;01/09/2025 01:00:00;URB;122;14,32;90,50
1011;01/09/2025 01:00:00;URB;124;13,04;88,80
1012;01/09/2025 01:00:00;M30;376;13,26;87,20
1013;01/09/2025 01:00:00;URB;144;16,35;81,60
1014;01/09/2025 01:00:00;URB;135;22,66;84,10
1015;01/09/2025 01:00:00;M30;335;10,18;86,30
1016;01/09/2025 01:00:00;URB;98;8,57;86,00
1017;01/09/2025 01:00:00;URB;115;17,85;87,50
1018;01/09/2025 01:00:00;URB;127;19,46;-1,00
1019;01/09/2025 01:00:00;M30;338;14,30;85,90
1020;01/09/2025 01:00:00;URB;103;15,48;90,50
1021;01/09/2025 01:00:00;M30;271;13,78;88,40
1022;01/09/2025 01:00:00;URB;129;11,31;85,70
1023;01/09/2025 01:00:00;URB;118;16,44;91,90
1024;01/09/2025 01:00:00;URB;114;15,68;82,80
1025;01/09/2025 01:00:00;M30;281;16,42;88,40
1026;01/09/2025 01:00:00;URB;94;17,01;84,40
1027;01/09/2025 01:00:00;M30;389;12,36;101,80
1028;01/09/2025 01:00:00;URB;106;17,55;93,20
1029;01/09/2025 01:00:00;URB;94;14,00;93,20
1030;01/09/2025 01:00:00;URB;92;11,11;-1,00
1001;01/09/2025 02:00:00;M30;318;11,88;88,40
1002;01/09/2025 02:00:00;URB;120;14,37;90,50
1003;01/09/2025 02:00:00;M30;344;16,98;85,30
1004;01/09/2025 02:00:00;M30;292;12,62;-1,00
1005;01/09/2025 02:00:00;M30;331;12,62;84,90
1006;01/09/2025 02:00:00;M30;297;14,63;-1,00
1007;01/09/2025 02:00:00;M30;343;17,67;85,40
1008;01/09/2025 02:00:00;URB;116;16,72;90,70
1009;01/09/2025 02:00:00;M30;315;19,94;95,90
1010;01/09/2025 02:00:00;URB;114;14,21;88,40
1011;01/09/2025 02:00:00;URB;127;13,25;86,10
1012;01/09/2025 02:00:00;M30;330;14,11;-1,00
1013;01/09/2025 02:00:00;URB;101;18,35;84,80
1014;01/09/2025 02:00:00;URB;120;12,98;-1,00
1015;01/09/2025 02:00:00;M30;289;15,07;-1,00
1016;01/09/2025 02:00:00;URB;117;18,43;77,90
1017;01/09/2025 02:00:00;URB;119;17,70;87,30
1018;01/09/2025 02:00:00;URB;109;15,20;-1,00
1019;01/09/2025 02:00:00;M30;264;12,67;93,10
1020;01/09/2025 02:00:00;URB;120;19,00;79,10
1021;01/09/2025 02:00:00;M30;377;19,43;-1,00
1022;01/09/2025 02:00:00;URB;91;11,99;83,60
1023;01/09/2025 02:00:00;URB;113;18,68;83,30
1024;01/09/2025 02:00:00;URB;114;16,77;86,00
1025;01/09/2025 02:00:00;M30;318;13,52;86,30
1026;01/09/2025 02:00:00;URB;106;14,79;86,90
1027;01/09/2025 02:00:00;M30;324;14,44;82,40
1028;01/09/2025 02:00:00;URB;121;19,22;88,60
1029;01/09/2025 02:00:00;URB;98;10,88;90,50
1030;01/09/2025 02:00:00;URB;116;16,85;-1,00
1001;01/09/2025 03:00:00;M30;335;11,16;91,50
1002;01/09/2025 03:00:00;URB;86;15,64;90,60
