"TOA5","CR1000_PZ07","CR1000","E4521","CR1000.Std.32.05","CPU:pz07.CR1","1842","Horario"
"TIMESTAMP","RECORD","Nivel_m","Temp_C","Batt_V"
"TS","RN","m","Deg C","Volts"
"","","Smp","Smp","Min"
2025-09-15 00:00:00,4400,12.803,13.7,12.93
2025-09-15 01:00:00,4401,12.811,13.1,12.9
2025-09-15 02:00:00,4402,12.824,13.3,12.91
2025-09-15 03:00:00,4403,12.84,13.4,12.9
2025-09-15 04:00:00,4404,12.848,13.5,12.92
2025-09-15 05:00:00,4405,12.855,13.3,12.89
2025-09-15 06:00:00,4406,12.863,13.4,12.86
2025-09-15 07:00:00,4407,12.868,13.4,12.83
2025-09-15 08:00:00,4408,12.878,13.2,12.89
2025-09-15 09:00:00,4409,12.884,13.3,12.89
2025-09-15 10:00:00,4410,12.889,13.4,12.91
2025-09-15 11:00:00,4411,12.9,13.4,12.88
2025-09-15 12:00:00,4412,12.907,13.5,12.88
2025-09-15 13:00:00,4413,12.914,13.4,12.86
2025-09-15 14:00:00,4414,12.921,13.3,12.88
2025-09-15 15:00:00,4415,12.926,13.6,12.92
2025-09-15 16:00:00,4416,12.934,13.4,12.88
2025-09-15 17:00:00,4417,12.939,13.5,12.88
2025-09-15 18:00:00,4418,12.945,13.3,12.9
2025-09-15 19:00:00,4419,12.951,13.2,12.83
2025-09-15 20:00:00,4420,12.956,13.4,12.83
2025-09-15 21:00:00,4421,12.966,13.4,12.91
2025-09-15 22:00:00,4422,12.973,13.3,12.89
2025-09-15 23:00:00,4423,12.983,13.1,12.87
2025-09-16 00:00:00,4424,12.994,12.9,12.89
2025-09-16 01:00:00,4425,13.003,13.3,12.87
2025-09-16 02:00:00,4426,13.005,13.4,12.85
2025-09-16 03:00:00,4427,13.012,13.4,12.89
2025-09-16 04:00:00,4428,13.024,13.4,12.89
2025-09-16 05:00:00,4429,13.031,13.7,12.91
2025-09-16 06:00:00,4430,13.04,13.2,12.89
2025-09-16 07:00:00,4431,13.051,13.3,12.91
2025-09-16 08:00:00,4432,13.055,13.2,12.85
2025-09-16 09:00:00,4433,13.059,13.1,12.85
2025-09-16 10:00:00,4434,13.065,13.4,12.87
2025-09-16 11:00:00,4435,13.07,13.5,12.93
2025-09-16 12:00:00,4436,13.077,13.1,12.88
2025-09-16 13:00:00,4437,13.082,13.4,12.91
2025-09-16 14:00:00,4438,13.093,13.2,12.81
2025-09-16 15:00:00,4439,13.098,13.1,12.92
2025-09-16 16:00:00,4440,13.104,13.0,12.88
2025-09-16 17:00:00,4441,13.111,13.4,12.87
2025-09-16 18:00:00,4442,13.122,13.2,12.86
2025-09-16 19:00:00,4443,13.127,13.5,12.82
2025-09-16 20:00:00,4444,13.134,13.3,12.82
2025-09-16 21:00:00,4445,13.141,13.3,12.89
2025-09-16 22:00:00,4446,13.146,13.1,12.93
2025-09-16 23:00:00,4447,13.156,13.4,12.87
2025-09-17 00:00:00,4448,13.161,13.4,12.84
2025-09-17 01:00:00,4449,13.161,13.4,12.89
2025-09-17 02:00:00,4450,13.166,13.4,12.88
2025-09-17 03:00:00,4451,13.173,13.5,12.88
2025-09-17 04:00:00,4452,13.175,13.4,12.87
2025-09-17 05:00:00,4453,13.183,13.4,12.82
2025-09-17 06:00:00,4454,13.191,13.4,12.83
2025-09-17 07:00:00,4455,13.203,13.7,12.87
2025-09-17 08:00:00,4456,13.207,13.4,12.84
2025-09-17 09:00:00,4457,13.214,13.4,12.88
2025-09-17 10:00:00,4458,13.213,13.6,12.85
2025-09-17 11:00:00,4459,13.222,13.5,12.86
2025-09-17 12:00:00,4460,13.224,13.4,12.85
2025-09-17 13:00:00,4461,13.23,13.2,12.86
2025-09-17 14:00:00,4462,13.236,13.2,12.86
2025-09-17 15:00:00,4463,13.243,13.3,12.84
2025-09-17 16:00:00,4464,13.245,13.5,12.79
2025-09-17 17:00:00,4465,13.253,13.4,12.86
2025-09-17 18:00:00,4466,13.261,13.3,12.86
2025-09-17 19:00:00,4467,13.267,13.5,12.83
2025-09-17 20:00:00,4468,13.274,13.4,12.85
2025-09-17 21:00:00,4469,13.286,13.5,12.85
2025-09-17 22:00:00,4470,13.29,13.6,12.81
2025-09-17 23:00:00,4471,13.292,13.3,12.79
2025-09-18 00:00:00,4472,13.299,13.5,12.84
2025-09-18 01:00:00,4473,13.301,13.6,12.86
2025-09-18 02:00:00,4474,13.31,13.6,12.85
2025-09-18 03:00:00,4475,13.313,13.4,12.8
2025-09-18 04:00:00,4476,13.323,13.3,12.81
2025-09-18 05:00:00,4477,13.328,13.4,12.84
2025-09-18 06:00:00,4478,13.337,13.5,12.86
2025-09-18 07:00:00,4479,13.343,13.5,12.86
2025-09-18 08:00:00,4480,13.346,13.4,12.79
2025-09-18 09:00:00,4481,13.352,13.6,12.79
2025-09-18 10:00:00,4482,13.37,13.7,12.83
2025-09-18 11:00:00,4483,13.376,13.3,12.84
2025-09-18 12:00:00,4484,13.381,13.6,12.81
2025-09-18 13:00:00,4485,13.388,13.6,12.82
2025-09-18 14:00:00,4486,13.391,13.4,12.81
2025-09-18 15:00:00,4487,13.39,13.4,12.85
2025-09-18 16:00:00,4488,13.394,13.4,12.81
2025-09-18 17:00:00,4489,13.395,13.4,12.82
2025-09-18 18:00:00,4490,13.402,13.6,12.83
2025-09-18 19:00:00,4491,13.41,13.4,12.82
2025-09-18 20:00:00,4492,13.416,13.7,12.83
2025-09-18 21:00:00,4493,13.421,13.3,12.82
2025-09-18 22:00:00,4494,13.423,13.4,12.84
2025-09-18 23:00:00,4495,13.426,13.6,12.87
2025-09-19 00:00:00,4496,13.427,13.5,12.85
2025-09-19 01:00:00,4497,13.43,13.2,12.81
2025-09-19 02:00:00,4498,13.439,13.9,12.83
2025-09-19 03:00:00,4499,13.443,13.5,12.81
2025-09-19 04:00:00,4500,13.448,13.5,12.8
2025-09-19 05:00:00,4501,13.452,13.5,12.82
2025-09-19 06:00:00,4502,13.457,13.4,12.79
2025-09-19 07:00:00,4503,13.458,13.5,12.79
2025-09-19 08:00:00,4504,13.462,13.5,12.83
2025-09-19 09:00:00,4505,13.462,13.6,12.83
2025-09-19 10:00:00,4506,13.458,13.4,12.82
2025-09-19 11:00:00,4507,13.464,13.8,12.76
2025-09-19 12:00:00,4508,13.469,13.8,12.76
2025-09-19 13:00:00,4509,13.476,13.6,12.8
2025-09-19 14:00:00,4510,13.481,13.7,12.79
2025-09-19 15:00:00,4511,13.485,13.3,12.81
2025-09-19 16:00:00,4512,13.489,13.7,12.81
2025-09-19 17:00:00,4513,13.491,13.6,12.85
2025-09-19 18:00:00,4514,13.495,13.5,12.84
2025-09-19 19:00:00,4515,13.503,13.7,12.77
2025-09-19 20:00:00,4516,13.508,13.7,12.82
2025-09-19 21:00:00,4517,13.511,13.8,12.7
2025-09-19 22:00:00,4518,13.51,13.4,12.8
2025-09-19 23:00:00,4519,13.519,13.7,12.76
2025-09-20 00:00:00,4520,13.521,13.9,12.81
2025-09-20 01:00:00,4521,13.522,13.7,12.8
2025-09-20 02:00:00,4522,13.524,13.7,12.79
2025-09-20 03:00:00,4523,13.529,13.7,12.81
2025-09-20 04:00:00,4524,13.53,13.8,12.83
2025-09-20 05:00:00,4525,13.533,13.9,12.79
2025-09-20 06:00:00,4526,13.534,13.9,12.76
2025-09-20 07:00:00,4527,13.534,13.7,12.8
2025-09-20 08:00:00,4528,13.533,13.7,12.82
2025-09-20 09:00:00,4529,13.539,13.9,12.81
2025-09-20 10:00:00,4530,13.536,13.8,12.79
2025-09-20 11:00:00,4531,13.537,13.4,12.79
2025-09-20 12:00:00,4532,13.539,13.8,12.81
2025-09-20 13:00:00,4533,13.544,13.8,12.75
2025-09-20 14:00:00,4534,13.55,13.7,12.76
2025-09-20 15:00:00,4535,13.548,14.0,12.77
2025-09-20 16:00:00,4536,13.548,14.0,12.82
2025-09-20 17:00:00,4537,13.553,13.9,12.77
2025-09-20 18:00:00,4538,13.553,13.8,12.72
2025-09-20 19:00:00,4539,13.556,13.8,12.81
2025-09-20 20:00:00,4540,13.555,14.0,12.81
2025-09-20 21:00:00,4541,13.559,13.7,12.75
2025-09-20 22:00:00,4542,13.564,14.0,12.77
2025-09-20 23:00:00,4543,13.562,13.8,12.81
2025-09-21 00:00:00,4544,13.56,14.0,12.74
2025-09-21 01:00:00,4545,13.562,13.9,12.79
2025-09-21 02:00:00,4546,13.559,14.0,12.79
2025-09-21 03:00:00,4547,13.557,14.1,12.82
2025-09-21 04:00:00,4548,13.562,13.9,12.77
2025-09-21 05:00:00,4549,13.562,14.1,12.81
2025-09-21 06:00:00,4550,13.559,14.0,12.76
2025-09-21 07:00:00,4551,13.558,14.2,12.8
2025-09-21 08:00:00,4552,13.56,14.2,12.77
2025-09-21 09:00:00,4553,13.56,14.3,12.75
2025-09-21 10:00:00,4554,13.556,13.9,12.76
2025-09-21 11:00:00,4555,13.552,14.3,12.78
2025-09-21 12:00:00,4556,13.556,14.2,12.82
2025-09-21 13:00:00,4557,13.559,14.1,12.75
2025-09-21 14:00:00,4558,13.561,14.1,12.82
2025-09-21 15:00:00,4559,13.558,14.1,12.79
2025-09-21 16:00:00,4560,13.554,14.0,12.81
