id;nombre;distrito;tipo_elem;x_utm;y_utm
1001;PM-0001;Alcalá;M30;441.749,87;4.479.519,70
1002;PM-0002;Chamartín;URB;440.253,27;4.478.394,71
1003;PM-0003;Arganzuela;M30;436.018,55;4.483.271,90
1004;PM-0004;Alcalá;M30;447.111,49;4.472.844,49
1005;PM-0005;Centro;M30;440.646,24;4.484.864,90
1006;PM-0006;Tetuán;M30;449.165,06;4.477.056,29
1007;PM-0007;Centro;M30;437.731,03;4.476.772,90
1008;PM-0008;Tetuán;URB;438.460,82;4.475.967,10
1009;PM-0009;Arganzuela;M30;441.303,55;4.471.996,28
1010;PM-0010;Tetuán;URB;448.291,01;4.476.403,72
1011;PM-0011;Alcalá;URB;434.669,45;4.485.288,09
1012;PM-0012;Chamartín;M30;445.479,09;4.473.921,98
1013;PM-0013;Arganzuela;URB;443.101,72;4.476.284,86
1014;PM-0014;Chamartín;URB;436.929,45;4.477.882,46
1015;PM-0015;Arganzuela;M30;442.687,18;4.478.329,65
1016;PM-0016;Tetuán;URB;436.722,39;4.472.564,31
1017;PM-0017;Alcalá;URB;440.202,10;4.484.913,45
1018;PM-0018;Centro;URB;444.121,30;4.478.114,95
1019;PM-0019;Alcalá;M30;440.698,71;4.472.139,74
1020;PM-0020;Tetuán;URB;446.797,85;4.479.118,52
1021;PM-0021;Alcalá;M30;440.434,02;4.473.531,23
1022;PM-0022;Centro;URB;437.301,34;4.481.881,33
1023;PM-0023;Chamartín;URB;440.637,79;4.473.488,84
1024;PM-0024;Alcalá;URB;447.628,35;4.479.799,50
1025;PM-0025;Chamartín;M30;443.866,16;4.473.483,63
1026;PM-0026;Alcalá;URB;438.586,31;4.479.462,74
1027;PM-0027;Centro;M30;445.289,58;4.485.917,13
1028;PM-0028;Tetuán;URB;447.334,91;4.476.957,23
1029;PM-0029;Alcalá;URB;442.644,17;4.475.322,08
1030;PM-0030;Chamartín;URB;441.529,13;4.484.956,08
